nom,age,langue,genre,nombre_enfant,titre,salaire
Cisse,74.0,chinois,Masculin,3,Cadre superieur,708523.0
Ali,40.0,anglais,Feminin,0,Cadre superieur,114287.0
George,73.0,anglais,Masculin,2,Cadre superieur,80185.0
Ali,63.0,anglais,Masculin,2,Retraite,501298.0
Moussa,42.0,arabe,Masculin,7,Fonctionaire,
Rebeca,67.0,francais,Feminin,6,Cadre superieur,269254.0
Moussa,60.0,Allemand,Masculin,0,Retraite,134368.0
Fatima,75.0,arabe,Masculin,3,Cadre superieur,825280.0
Robert,42.0,francais,Feminin,2,Cadre superieur,130762.0
Fatima,56.0,Espagnol,Feminin,5,Cadre superieur,760104.0
Sherif,60.0,chinois,Masculin,6,Fonctionaire,569950.0
Abakar,49.0,francais,Masculin,6,Retraite,404708.0
Abakar,32.0,arabe,Feminin,7,Cadre superieur,664553.0
Diop,62.0,francais,Feminin,3,Independant,197337.0
Robert,87.0,francais,Feminin,0,Independant,348361.0
Haroun,79.0,anglais,Masculin,2,Independant,809365.0
Eric,58.0,Russe,Masculin,2,Cadre superieur,139286.0
George,36.0,arabe,Masculin,1,Independant,895671.0
Cisse,56.0,arabe,Feminin,2,Independant,744193.0
James,28.0,Allemand,Feminin,1,Independant,596703.0
Cisse,50.0,Allemand,Feminin,5,Cadre superieur,722322.0
Ali,87.0,arabe,Masculin,6,Fonctionaire,443449.0
Sherif,53.0,Allemand,Masculin,4,Independant,223266.0
Cisse,91.0,chinois,Feminin,0,Independant,791932.0
George,59.0,arabe,Masculin,1,Fonctionaire,342507.0
Abakar,51.0,anglais,Masculin,1,Retraite,442737.0
Robert,75.0,arabe,Feminin,6,Retraite,859074.0
Rebeca,95.0,Espagnol,Feminin,5,Fonctionaire,349355.0
Yussef,60.0,arabe,Feminin,3,Retraite,666641.0
Cisse,95.0,chinois,Feminin,0,Fonctionaire,621913.0
Cisse,88.0,chinois,Feminin,5,Retraite,213876.0
Moussa,64.0,Allemand,Masculin,2,Cadre superieur,865944.0
James,62.0,Russe,Feminin,2,Retraite,540917.0
Ali,,chinois,Masculin,4,Fonctionaire,425045.0
Sherif,33.0,chinois,Masculin,3,Independant,505717.0
Eric,59.0,Russe,Masculin,0,Fonctionaire,87577.0
Rebeca,56.0,arabe,Feminin,3,Fonctionaire,315004.0
Abakar,91.0,Espagnol,Feminin,3,Independant,451900.0
Fatima,95.0,arabe,Masculin,3,Retraite,898734.0
James,80.0,anglais,Masculin,1,Fonctionaire,449199.0
Diop,32.0,francais,Masculin,6,Independant,706133.0
Yussef,52.0,arabe,Feminin,1,Retraite,889918.0
Cisse,60.0,anglais,Masculin,5,Retraite,824352.0
Abakar,51.0,Espagnol,Masculin,6,Independant,328670.0
Eric,83.0,chinois,Masculin,4,Retraite,461844.0
Haroun,53.0,anglais,Masculin,3,Retraite,555356.0
Yussef,37.0,arabe,Feminin,4,Cadre superieur,259137.0
Robert,39.0,arabe,Masculin,7,Fonctionaire,307760.0
Abakar,58.0,Russe,Masculin,7,Independant,167613.0
Sherif,66.0,arabe,Masculin,6,Fonctionaire,758256.0
Yussef,33.0,arabe,Feminin,3,Retraite,625258.0
Abakar,96.0,chinois,Masculin,6,Retraite,524502.0
Fatima,72.0,Russe,Feminin,0,Fonctionaire,386164.0
Abakar,96.0,Russe,Masculin,6,Retraite,776868.0
Yussef,41.0,chinois,Feminin,5,Cadre superieur,620211.0
Sherif,92.0,chinois,Feminin,3,Fonctionaire,551133.0
James,84.0,Espagnol,Feminin,4,Cadre superieur,760728.0
Ali,36.0,Espagnol,Feminin,6,Independant,279125.0
Diop,71.0,arabe,Feminin,2,Cadre superieur,802902.0
Moussa,57.0,anglais,Feminin,7,Fonctionaire,553239.0
Robert,35.0,francais,Feminin,1,Fonctionaire,771045.0
Abakar,37.0,chinois,Masculin,7,Retraite,403829.0
Abakar,47.0,chinois,Feminin,2,Independant,540900.0
Fatima,38.0,Allemand,Feminin,3,Fonctionaire,579703.0
George,66.0,Russe,Feminin,6,Fonctionaire,370551.0
Diop,67.0,Espagnol,Masculin,6,Fonctionaire,248903.0
Cisse,37.0,Russe,Feminin,2,Fonctionaire,103529.0
James,90.0,chinois,Feminin,1,Cadre superieur,486887.0
Eric,93.0,anglais,Masculin,3,Retraite,516093.0
Sherif,53.0,arabe,Masculin,7,Independant,281306.0
Fatima,56.0,francais,Masculin,6,Cadre superieur,510083.0
George,94.0,chinois,Feminin,0,Fonctionaire,151908.0
Sherif,93.0,arabe,Feminin,1,Independant,211404.0
Eric,43.0,Espagnol,Masculin,0,Independant,336040.0
James,33.0,Russe,Masculin,7,Cadre superieur,266262.0
Abakar,35.0,francais,Feminin,3,Independant,831383.0
Cisse,47.0,arabe,Feminin,7,Cadre superieur,711087.0
James,58.0,francais,Masculin,3,Retraite,188431.0
Diop,88.0,Allemand,Masculin,7,Cadre superieur,846765.0
Moussa,64.0,francais,Feminin,2,Independant,
Eric,53.0,arabe,Feminin,3,Independant,167790.0
Cisse,34.0,chinois,Feminin,0,Fonctionaire,809306.0
Cisse,56.0,arabe,Feminin,6,Independant,413563.0
Yussef,32.0,Russe,Masculin,5,Retraite,888601.0
Eric,41.0,Russe,Masculin,7,Retraite,121639.0
Rebeca,56.0,anglais,Masculin,2,Retraite,873277.0
Abakar,46.0,arabe,Masculin,5,Fonctionaire,575827.0
Cisse,51.0,Russe,Feminin,0,Cadre superieur,857414.0
Sherif,35.0,chinois,Masculin,3,Cadre superieur,494931.0
Robert,44.0,anglais,Masculin,0,Independant,95604.0
Abakar,36.0,Espagnol,Masculin,5,Independant,352805.0
George,65.0,anglais,Feminin,3,Retraite,785435.0
Diop,92.0,Espagnol,Masculin,3,Retraite,291933.0
George,67.0,Russe,Feminin,1,Retraite,712103.0
Robert,79.0,francais,Feminin,0,Retraite,865104.0
Moussa,40.0,anglais,Masculin,5,Retraite,92241.0
Diop,66.0,arabe,Feminin,5,Independant,520026.0
George,91.0,Allemand,Masculin,4,Cadre superieur,94255.0
Moussa,,Espagnol,Feminin,1,Retraite,488469.0
Abakar,78.0,chinois,Masculin,0,Fonctionaire,349126.0
Fatima,57.0,francais,Masculin,4,Independant,299478.0
Yussef,55.0,chinois,Feminin,3,Retraite,448327.0
Moussa,64.0,francais,Masculin,0,Fonctionaire,476230.0
Robert,84.0,Espagnol,Masculin,1,Independant,882979.0
Robert,93.0,Espagnol,Masculin,2,Cadre superieur,551950.0
James,68.0,francais,Feminin,2,Independant,583891.0
Diop,94.0,Espagnol,Masculin,5,Cadre superieur,428415.0
Haroun,58.0,Russe,Masculin,1,Retraite,225628.0
Cisse,84.0,anglais,Masculin,4,Retraite,441571.0
James,97.0,chinois,Feminin,1,Retraite,883779.0
Diop,87.0,francais,Masculin,2,Fonctionaire,622302.0
Sherif,49.0,chinois,Feminin,6,Fonctionaire,518162.0
Fatima,75.0,Espagnol,Masculin,1,Retraite,442814.0
Diop,67.0,Espagnol,Masculin,1,Fonctionaire,304206.0
Moussa,87.0,arabe,Masculin,4,Fonctionaire,761380.0
Sherif,50.0,chinois,Masculin,4,Cadre superieur,182306.0
Robert,67.0,arabe,Feminin,6,Independant,719511.0
Robert,97.0,Espagnol,Masculin,1,Retraite,197580.0
Haroun,28.0,Russe,Masculin,2,Cadre superieur,670311.0
Yussef,41.0,arabe,Masculin,4,Retraite,774399.0
Ali,31.0,arabe,Feminin,6,Cadre superieur,264059.0
Cisse,79.0,arabe,Feminin,6,Cadre superieur,845329.0
Yussef,35.0,arabe,Feminin,2,Cadre superieur,826102.0
Eric,56.0,arabe,Masculin,3,Independant,740506.0
Ali,37.0,Russe,Masculin,1,Retraite,810950.0
Fatima,76.0,francais,Masculin,6,Independant,734390.0
Cisse,32.0,chinois,Feminin,7,Cadre superieur,522707.0
George,43.0,chinois,Feminin,0,Retraite,211783.0
Diop,84.0,Espagnol,Masculin,3,Independant,471664.0
Eric,42.0,chinois,Masculin,2,Cadre superieur,213355.0
Haroun,96.0,chinois,Feminin,0,Cadre superieur,395926.0
Sherif,75.0,Espagnol,Masculin,5,Fonctionaire,796762.0
Haroun,42.0,chinois,Masculin,7,Fonctionaire,753856.0
James,36.0,Russe,Feminin,3,Cadre superieur,873333.0
Abakar,30.0,Espagnol,Feminin,5,Retraite,215147.0
Yussef,80.0,francais,Masculin,2,Independant,503573.0
Diop,72.0,arabe,Feminin,1,Cadre superieur,726724.0
Haroun,89.0,Espagnol,Masculin,0,Fonctionaire,102954.0
Moussa,93.0,anglais,Feminin,7,Independant,700906.0
Diop,91.0,chinois,Masculin,5,Independant,502865.0
James,59.0,Russe,Masculin,7,Retraite,384393.0
Abakar,97.0,anglais,Feminin,3,Cadre superieur,681023.0
Moussa,87.0,francais,Masculin,2,Retraite,364496.0
Diop,43.0,Espagnol,Feminin,3,Fonctionaire,763758.0
Cisse,75.0,chinois,Masculin,0,Fonctionaire,451022.0
George,28.0,anglais,Masculin,4,Cadre superieur,772501.0
Rebeca,64.0,francais,Masculin,4,Independant,565187.0
Haroun,77.0,chinois,Feminin,5,Retraite,481059.0
Rebeca,53.0,Russe,Feminin,5,Fonctionaire,216752.0
Abakar,85.0,chinois,Masculin,7,Independant,818078.0
Abakar,40.0,Allemand,Masculin,7,Retraite,134651.0
Haroun,40.0,francais,Masculin,0,Independant,656779.0
James,35.0,Allemand,Masculin,3,Independant,113369.0
Diop,97.0,Russe,Feminin,0,Fonctionaire,352856.0
Fatima,33.0,Allemand,Masculin,6,Independant,128856.0
Robert,73.0,francais,Masculin,1,Fonctionaire,397487.0
Rebeca,60.0,arabe,Masculin,3,Retraite,142254.0
Haroun,79.0,Russe,Masculin,0,Fonctionaire,374526.0
James,80.0,anglais,Masculin,3,Retraite,360344.0
Eric,61.0,anglais,Feminin,5,Cadre superieur,500567.0
Diop,48.0,Russe,Feminin,4,Independant,540128.0
Eric,58.0,arabe,Masculin,1,Independant,392828.0
Ali,54.0,anglais,Feminin,7,Fonctionaire,448093.0
Rebeca,90.0,francais,Masculin,5,Fonctionaire,446030.0
Robert,69.0,Allemand,Masculin,2,Retraite,689458.0
Abakar,,Russe,Feminin,2,Fonctionaire,310195.0
Moussa,40.0,Allemand,Feminin,5,Independant,433598.0
Haroun,36.0,anglais,Feminin,5,Fonctionaire,321076.0
George,74.0,chinois,Feminin,3,Fonctionaire,858860.0
Rebeca,60.0,Russe,Feminin,2,Independant,685237.0
James,82.0,Allemand,Masculin,2,Independant,364768.0
Sherif,83.0,chinois,Masculin,6,Cadre superieur,855143.0
Haroun,55.0,Espagnol,Masculin,7,Fonctionaire,711693.0
Abakar,43.0,Allemand,Masculin,0,Independant,437868.0
James,91.0,chinois,Feminin,4,Cadre superieur,336892.0
Cisse,70.0,chinois,Masculin,5,Fonctionaire,392160.0
Moussa,58.0,Russe,Masculin,0,Independant,761374.0
Abakar,79.0,Russe,Feminin,3,Independant,768615.0
Cisse,53.0,Allemand,Feminin,4,Retraite,702787.0
Robert,92.0,arabe,Feminin,1,Fonctionaire,260244.0
Cisse,51.0,chinois,Masculin,7,Independant,231214.0
George,60.0,chinois,Feminin,6,Cadre superieur,
Eric,29.0,Espagnol,Masculin,5,Fonctionaire,674213.0
Ali,65.0,chinois,Masculin,1,Cadre superieur,256778.0
George,49.0,Allemand,Masculin,4,Fonctionaire,813799.0
Robert,42.0,Espagnol,Feminin,5,Cadre superieur,655623.0
Moussa,45.0,Russe,Feminin,6,Fonctionaire,675106.0
Rebeca,83.0,francais,Masculin,2,Cadre superieur,416579.0
Rebeca,62.0,chinois,Feminin,1,Independant,872039.0
Cisse,68.0,francais,Masculin,6,Cadre superieur,810324.0
Sherif,71.0,Espagnol,Masculin,2,Fonctionaire,726904.0
Haroun,92.0,Allemand,Masculin,1,Cadre superieur,429578.0
Ali,40.0,anglais,Masculin,5,Retraite,287830.0
Eric,84.0,chinois,Feminin,2,Retraite,540222.0
Robert,81.0,anglais,Feminin,3,Retraite,860453.0
Fatima,54.0,Allemand,Feminin,5,Independant,173688.0
George,55.0,anglais,Feminin,5,Retraite,557917.0
Diop,46.0,arabe,Masculin,4,Cadre superieur,177861.0
Abakar,69.0,chinois,Masculin,0,Cadre superieur,438172.0
Haroun,43.0,chinois,Feminin,6,Cadre superieur,719401.0
Moussa,93.0,anglais,Feminin,4,Fonctionaire,118267.0
Sherif,36.0,chinois,Masculin,3,Cadre superieur,331314.0
Moussa,37.0,Allemand,Feminin,4,Fonctionaire,103661.0
Rebeca,93.0,francais,Masculin,4,Cadre superieur,648657.0
Eric,35.0,anglais,Feminin,3,Independant,437110.0
George,93.0,arabe,Feminin,3,Independant,781174.0
Sherif,39.0,francais,Masculin,5,Cadre superieur,397675.0
Rebeca,30.0,arabe,Masculin,3,Independant,642448.0
Moussa,78.0,Espagnol,Masculin,5,Fonctionaire,295339.0
Cisse,93.0,Espagnol,Masculin,6,Fonctionaire,81825.0
Moussa,50.0,chinois,Masculin,5,Cadre superieur,851611.0
Moussa,28.0,Russe,Feminin,3,Independant,653556.0
Sherif,95.0,Russe,Masculin,4,Independant,302594.0
Moussa,92.0,francais,Feminin,7,Independant,522714.0
Abakar,61.0,arabe,Masculin,3,Fonctionaire,884756.0
Eric,94.0,chinois,Feminin,0,Retraite,
Abakar,89.0,francais,Masculin,1,Fonctionaire,91827.0
Rebeca,92.0,Allemand,Masculin,4,Retraite,
Yussef,41.0,anglais,Masculin,1,Cadre superieur,803463.0
Ali,48.0,Allemand,Masculin,4,Retraite,734452.0
Cisse,76.0,Allemand,Feminin,0,Fonctionaire,281982.0
Rebeca,29.0,Russe,Masculin,7,Retraite,114184.0
Fatima,70.0,Allemand,Masculin,5,Retraite,476953.0
Ali,34.0,Allemand,Feminin,7,Cadre superieur,433750.0
Cisse,75.0,Espagnol,Masculin,7,Retraite,593945.0
Robert,88.0,Russe,Feminin,3,Retraite,200807.0
Fatima,63.0,Russe,Masculin,1,Retraite,673591.0
Rebeca,86.0,chinois,Feminin,3,Cadre superieur,550852.0
Abakar,32.0,anglais,Masculin,5,Fonctionaire,118159.0
Sherif,52.0,anglais,Feminin,4,Cadre superieur,693601.0
Robert,48.0,chinois,Feminin,3,Independant,496976.0
Robert,95.0,Allemand,Feminin,0,Fonctionaire,820639.0
Ali,61.0,Espagnol,Masculin,5,Retraite,309600.0
Moussa,50.0,chinois,Feminin,2,Independant,327618.0
James,35.0,Espagnol,Feminin,4,Retraite,453394.0
Haroun,37.0,arabe,Feminin,0,Retraite,666390.0
Rebeca,35.0,Russe,Masculin,5,Cadre superieur,106316.0
Cisse,46.0,Espagnol,Masculin,7,Retraite,135197.0
Diop,81.0,Allemand,Masculin,6,Cadre superieur,564486.0
Eric,30.0,anglais,Feminin,6,Cadre superieur,272404.0
Diop,47.0,Espagnol,Masculin,1,Cadre superieur,596597.0
Sherif,62.0,Russe,Feminin,5,Fonctionaire,653557.0
Diop,71.0,Espagnol,Masculin,4,Retraite,839227.0
Moussa,65.0,francais,Feminin,0,Fonctionaire,871093.0
Haroun,47.0,anglais,Feminin,7,Retraite,113359.0
George,42.0,Espagnol,Masculin,0,Independant,597480.0
Eric,42.0,Espagnol,Masculin,4,Cadre superieur,320007.0
Ali,92.0,francais,Feminin,6,Independant,735174.0
Rebeca,90.0,chinois,Masculin,4,Cadre superieur,836004.0
Robert,36.0,Espagnol,Feminin,2,Independant,334515.0
Abakar,39.0,chinois,Feminin,7,Independant,853866.0
Moussa,81.0,anglais,Feminin,4,Retraite,722594.0
Yussef,41.0,Allemand,Masculin,6,Cadre superieur,898050.0
Yussef,57.0,anglais,Masculin,2,Independant,790190.0
Moussa,34.0,Allemand,Feminin,3,Retraite,386548.0
Ali,54.0,anglais,Feminin,0,Retraite,616958.0
James,95.0,Espagnol,Masculin,3,Fonctionaire,169087.0
George,43.0,arabe,Masculin,2,Retraite,733601.0
Sherif,60.0,arabe,Masculin,5,Retraite,719112.0
Fatima,92.0,arabe,Masculin,6,Independant,505385.0
Abakar,82.0,Allemand,Masculin,2,Retraite,344738.0
Robert,48.0,Russe,Masculin,3,Retraite,133897.0
Diop,53.0,chinois,Feminin,6,Cadre superieur,259099.0
James,43.0,anglais,Masculin,1,Independant,440055.0
Rebeca,30.0,francais,Masculin,4,Cadre superieur,173313.0
Fatima,87.0,anglais,Masculin,5,Cadre superieur,744392.0
Yussef,67.0,Russe,Masculin,3,Cadre superieur,133582.0
Sherif,69.0,Russe,Masculin,3,Independant,216080.0
Diop,,Espagnol,Masculin,4,Retraite,265167.0
George,64.0,arabe,Feminin,6,Independant,633239.0
Eric,28.0,Espagnol,Masculin,6,Retraite,535037.0
George,56.0,Allemand,Masculin,5,Retraite,885267.0
George,87.0,arabe,Masculin,7,Independant,195829.0
Robert,91.0,Allemand,Masculin,2,Fonctionaire,215209.0
Diop,77.0,chinois,Feminin,7,Retraite,249884.0
James,84.0,anglais,Masculin,0,Independant,
George,43.0,anglais,Masculin,6,Cadre superieur,893444.0
Fatima,49.0,arabe,Masculin,2,Independant,526022.0
George,88.0,chinois,Masculin,1,Retraite,823987.0
Eric,97.0,Russe,Masculin,5,Retraite,392300.0
Diop,47.0,Allemand,Masculin,2,Cadre superieur,749588.0
James,95.0,Allemand,Masculin,3,Retraite,875149.0
Rebeca,50.0,anglais,Feminin,5,Independant,
Sherif,59.0,anglais,Feminin,5,Retraite,694365.0
James,76.0,francais,Masculin,7,Independant,741549.0
Diop,58.0,arabe,Feminin,1,Independant,846669.0
Haroun,82.0,chinois,Masculin,5,Retraite,677918.0
Fatima,38.0,Russe,Masculin,6,Cadre superieur,311814.0
Diop,36.0,Allemand,Feminin,0,Cadre superieur,470469.0
Abakar,46.0,arabe,Feminin,1,Retraite,315903.0
Diop,64.0,Russe,Masculin,7,Retraite,799779.0
Sherif,52.0,francais,Masculin,1,Independant,484196.0
Abakar,37.0,Russe,Masculin,4,Retraite,643726.0
Sherif,64.0,anglais,Feminin,5,Independant,262169.0
Rebeca,61.0,arabe,Feminin,5,Retraite,746143.0
Robert,97.0,arabe,Feminin,0,Retraite,837907.0
Sherif,,Allemand,Masculin,6,Independant,109479.0
Moussa,29.0,chinois,Feminin,4,Fonctionaire,494179.0
Cisse,97.0,anglais,Feminin,1,Retraite,880944.0
Fatima,40.0,Espagnol,Masculin,6,Independant,428644.0
George,97.0,chinois,Feminin,2,Fonctionaire,541645.0
